Model,Precision,Recall,F1-Score,Accuracy
XGBoost,0.9979999208400722,0.9966547378248016,0.9971913538751376,0.9966547378248016
Random Forest,0.996477882376954,0.9938858791745052,0.9949702543666424,0.9938858791745052
DNN,0.9760743636303656,0.9590170021358756,0.965773005288186,0.9590170021358756
